time,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHY_TCHLA,OGM_dop,OGM_don,OGM_pop,OGM_pon,TP_vars,SDF_Fsed_frp
2016-01-01 24:00:00,    6.485228,    0.000000,  218.990900,   49.000000,    2.010967,   30.469656,    0.300413,    5.661833,    0.168804,    0.107204,    0.182063,    0.101330,-9999.000000,-9999.000000
2016-01-02 24:00:00,    6.440564,    0.000001,  223.988369,   48.862546,    2.107236,   31.022088,    0.325451,    5.280436,    0.143487,    0.110590,    0.159486,    0.098988,-9999.000000,-9999.000000
2016-01-03 24:00:00,    6.371444,    0.000005,  220.719201,   48.590298,    2.190968,   31.575712,    0.345596,    4.945401,    0.122665,    0.113287,    0.140413,    0.097371,-9999.000000,-9999.000000
2016-01-04 24:00:00,    6.262283,    0.000005,  224.790058,   48.524458,    2.274036,   32.343581,    0.363735,    4.679919,    0.106301,    0.115785,    0.124046,    0.096085,-9999.000000,-9999.000000
2016-01-05 24:00:00,    6.187841,    0.000006,  223.853026,   48.379070,    2.346051,   33.163798,    0.378820,    4.455219,    0.092909,    0.117315,    0.109404,    0.094549,-9999.000000,-9999.000000
2016-01-06 24:00:00,    6.085820,    0.000006,  221.250791,   48.375532,    2.408886,   33.898365,    0.392243,    4.224404,    0.081896,    0.118730,    0.097553,    0.093884,-9999.000000,-9999.000000
2016-01-07 24:00:00,    5.881349,    0.000009,  240.075138,   48.189494,    2.465978,   34.867398,    0.402963,    4.041635,    0.072962,    0.118491,    0.086013,    0.091920,-9999.000000,-9999.000000
2016-01-08 24:00:00,    5.665633,    0.000010,  239.787389,   48.120645,    2.514493,   35.701831,    0.412254,    3.881001,    0.065427,    0.118461,    0.076602,    0.090608,-9999.000000,-9999.000000
2016-01-09 24:00:00,    5.583472,    0.000013,  236.695889,   47.944481,    2.550221,   36.443068,    0.418816,    3.698024,    0.058891,    0.117584,    0.068321,    0.089188,-9999.000000,-9999.000000
2016-01-10 24:00:00,    5.445101,    0.000015,  260.861099,   47.718191,    2.582720,   37.296165,    0.424282,    3.621747,    0.053495,    0.116246,    0.060659,    0.087181,-9999.000000,-9999.000000
2016-01-11 24:00:00,    5.291586,    0.000015,  256.091859,   47.641097,    2.618974,   38.533897,    0.429143,    3.531391,    0.049479,    0.114229,    0.053780,    0.084890,-9999.000000,-9999.000000
2016-01-12 24:00:00,    5.117538,    0.000017,  258.909164,   47.546940,    2.643471,   39.721347,    0.431963,    3.370968,    0.045974,    0.111664,    0.047583,    0.082316,-9999.000000,-9999.000000
2016-01-13 24:00:00,    4.925241,    0.000019,  259.441232,   47.379974,    2.661014,   40.697047,    0.434199,    3.304844,    0.042613,    0.109508,    0.042343,    0.080097,-9999.000000,-9999.000000
2016-01-14 24:00:00,    4.669663,    0.000020,  257.845686,   47.226178,    2.674923,   41.541396,    0.436106,    3.271262,    0.039474,    0.107705,    0.037885,    0.078205,-9999.000000,-9999.000000
2016-01-15 24:00:00,    4.384210,    0.000019,  259.328742,   47.109985,    2.686976,   42.415568,    0.437585,    3.262108,    0.036798,    0.106060,    0.034007,    0.076430,-9999.000000,-9999.000000
2016-01-16 24:00:00,    4.226473,    0.000019,  253.701188,   47.008812,    2.693882,   43.220675,    0.438270,    3.234334,    0.034360,    0.104521,    0.030595,    0.074739,-9999.000000,-9999.000000
2016-01-17 24:00:00,    4.082366,    0.000020,  254.123321,   46.875740,    2.696489,   43.838655,    0.438485,    3.202598,    0.031945,    0.103282,    0.027649,    0.073333,-9999.000000,-9999.000000
2016-01-18 24:00:00,    4.091861,    0.000019,  246.787308,   46.966135,    2.702280,   44.201123,    0.439195,    2.787775,    0.029613,    0.102429,    0.027103,    0.077774,-9999.000000,-9999.000000
2016-01-19 24:00:00,    4.099443,    0.000019,  242.471459,   46.965957,    2.718047,   43.732445,    0.442632,    2.428107,    0.026414,    0.103144,    0.027219,    0.083935,-9999.000000,-9999.000000
2016-01-20 24:00:00,    4.122088,    0.000019,  246.206588,   46.510334,    2.717774,   44.265292,    0.442467,    2.869832,    0.024261,    0.103203,    0.023545,    0.079180,-9999.000000,-9999.000000
2016-01-21 24:00:00,    3.880762,    0.000020,  258.093509,   46.300786,    2.704310,   45.210385,    0.439335,    3.226116,    0.023241,    0.101510,    0.019033,    0.069749,-9999.000000,-9999.000000
2016-01-22 24:00:00,    3.960261,    0.000022,  277.470725,   46.076349,    2.699876,   45.294537,    0.438251,    3.190398,    0.021432,    0.101269,    0.017463,    0.069281,-9999.000000,-9999.000000
2016-01-23 24:00:00,    4.038489,    0.000022,  285.052397,   45.910951,    2.693828,   45.855813,    0.436279,    3.200742,    0.020345,    0.100501,    0.015957,    0.068482,-9999.000000,-9999.000000
2016-01-24 24:00:00,    4.279570,    0.000022,  294.221318,   45.917371,    2.680201,   46.902229,    0.432460,    3.088638,    0.019905,    0.098806,    0.014467,    0.067156,-9999.000000,-9999.000000
